normalized_url,canonical_url,source,host,page_type,location,service_intent,clicks,impressions,indexed_status,current_v2_status,target_url,notes
/locations/aluva/hard-drive-shredding-kochi/,https://www.ewastekochi.com/locations/aluva/hard-drive-shredding-kochi/,gsc-indexed-url-upgrade-map;gsc-url-protection-map,www.ewastekochi.com,location-service-matrix,aluva,hard-drive-shredding-kochi,0,0,alt_canonical,leave_404,,classification_source=rule;confirmed_indexed_2026-07-10
/locations/aluva/itad-kochi/,https://www.ewastekochi.com/locations/aluva/itad-kochi/,gsc-url-protection-map,www.ewastekochi.com,location-service-matrix,aluva,itad-kochi,0,1,alt_canonical,redirect_301,(see vercel.json),classification_source=v2-redirect
/locations/aluva/laptop-buyback-kochi/,https://www.ewastekochi.com/locations/aluva/laptop-buyback-kochi/,gsc-url-protection-map,www.ewastekochi.com,location-service-matrix,aluva,laptop-buyback-kochi,1,5,redirect,redirect_301,(see vercel.json),classification_source=v2-redirect
/locations/aluva/mobile-recycling-kochi/,https://www.ewastekochi.com/locations/aluva/mobile-recycling-kochi/,gsc-indexed-url-upgrade-map;gsc-url-protection-map,www.ewastekochi.com,location-service-matrix,aluva,mobile-recycling-kochi,0,2,alt_canonical,leave_404,,classification_source=rule;confirmed_indexed_2026-07-10
/locations/aluva/printer-recycling-kochi/,https://www.ewastekochi.com/locations/aluva/printer-recycling-kochi/,gsc-indexed-url-upgrade-map;gsc-url-protection-map,www.ewastekochi.com,location-service-matrix,aluva,printer-recycling-kochi,0,1,alt_canonical,leave_404,,classification_source=rule;confirmed_indexed_2026-07-10
/locations/aluva/sell-electronics-kochi/,https://www.ewastekochi.com/locations/aluva/sell-electronics-kochi/,gsc-url-protection-map,www.ewastekochi.com,location-service-matrix,aluva,sell-electronics-kochi,0,5,crawled_not_indexed,redirect_301,(see vercel.json),classification_source=v2-redirect
/locations/aluva/server-recycling-kochi/,https://www.ewastekochi.com/locations/aluva/server-recycling-kochi/,gsc-url-protection-map,www.ewastekochi.com,location-service-matrix,aluva,server-recycling-kochi,0,1,redirect,redirect_301,(see vercel.json),classification_source=v2-redirect
/locations/aluva/tv-monitor-recycling-kochi/,https://www.ewastekochi.com/locations/aluva/tv-monitor-recycling-kochi/,gsc-url-protection-map,www.ewastekochi.com,location-service-matrix,aluva,tv-monitor-recycling-kochi,0,0,redirect,leave_404,,classification_source=rule
/locations/aluva/ups-inverter-recycling-kochi/,https://www.ewastekochi.com/locations/aluva/ups-inverter-recycling-kochi/,gsc-url-protection-map,www.ewastekochi.com,location-service-matrix,aluva,ups-inverter-recycling-kochi,0,6,redirect,redirect_301,(see vercel.json),classification_source=v2-redirect
/locations/angamaly/,https://www.ewastekochi.com/locations/angamaly/,gsc-indexed-url-upgrade-map;gsc-url-protection-map,www.ewastekochi.com,location-page,angamaly,angamaly,6,134,redirect,manual_review,https://www.ewastekochi.com/locations/angamaly/,classification_source=rule;confirmed_indexed_2026-07-10
/locations/angamaly/air-conditioner-recycling-kochi/,https://www.ewastekochi.com/locations/angamaly/air-conditioner-recycling-kochi/,gsc-url-protection-map,www.ewastekochi.com,location-service-matrix,angamaly,air-conditioner-recycling-kochi,1,1,redirect,redirect_301,/locations/angamaly/,classification_source=rule;implemented_in_vercel.json_2026-07-15
/locations/angamaly/battery-recycling-kochi/,https://www.ewastekochi.com/locations/angamaly/battery-recycling-kochi/,gsc-url-protection-map,www.ewastekochi.com,location-service-matrix,angamaly,battery-recycling-kochi,0,2,redirect,redirect_301,(see vercel.json),classification_source=v2-redirect
/locations/angamaly/certificate-of-destruction-kochi/,https://www.ewastekochi.com/locations/angamaly/certificate-of-destruction-kochi/,gsc-indexed-url-upgrade-map;gsc-url-protection-map,www.ewastekochi.com,location-service-matrix,angamaly,certificate-of-destruction-kochi,0,0,alt_canonical,leave_404,,classification_source=rule;confirmed_indexed_2026-07-10
/locations/angamaly/computer-recycling/,https://www.ewastekochi.com/locations/angamaly/computer-recycling/,gsc-url-protection-map,www.ewastekochi.com,location-service-matrix,angamaly,computer-recycling,0,0,404,leave_404,,classification_source=rule
/locations/angamaly/corporate-ewaste-kochi/,https://www.ewastekochi.com/locations/angamaly/corporate-ewaste-kochi/,gsc-indexed-url-upgrade-map;gsc-url-protection-map,www.ewastekochi.com,location-service-matrix,angamaly,corporate-ewaste-kochi,0,2,alt_canonical,leave_404,,classification_source=rule;confirmed_indexed_2026-07-10
/locations/angamaly/data-destruction-kochi/,https://www.ewastekochi.com/locations/angamaly/data-destruction-kochi/,gsc-indexed-url-upgrade-map;gsc-url-protection-map,www.ewastekochi.com,location-service-matrix,angamaly,data-destruction-kochi,0,0,alt_canonical,leave_404,,classification_source=rule;confirmed_indexed_2026-07-10
/locations/angamaly/dpdp-act-compliance-kochi/,https://www.ewastekochi.com/locations/angamaly/dpdp-act-compliance-kochi/,gsc-url-protection-map,www.ewastekochi.com,location-service-matrix,angamaly,dpdp-act-compliance-kochi,0,0,redirect,leave_404,,classification_source=rule
/locations/angamaly/e-waste-recycling-kochi/,https://www.ewastekochi.com/locations/angamaly/e-waste-recycling-kochi/,gsc-url-protection-map,www.ewastekochi.com,location-service-matrix,angamaly,e-waste-recycling-kochi,0,5,redirect|crawled_not_indexed,redirect_301,(see vercel.json),classification_source=v2-redirect
/locations/angamaly/free-ewaste-pickup-kochi/,https://www.ewastekochi.com/locations/angamaly/free-ewaste-pickup-kochi/,gsc-url-protection-map,www.ewastekochi.com,location-service-matrix,angamaly,free-ewaste-pickup-kochi,1,10,redirect,redirect_301,(see vercel.json),classification_source=v2-redirect
/locations/angamaly/hard-drive-shredding-kochi/,https://www.ewastekochi.com/locations/angamaly/hard-drive-shredding-kochi/,gsc-indexed-url-upgrade-map;gsc-url-protection-map,www.ewastekochi.com,location-service-matrix,angamaly,hard-drive-shredding-kochi,0,0,indexed,leave_404,,classification_source=indexed-pages-crosscheck-2026-07-10
/locations/angamaly/itad-kochi/,https://www.ewastekochi.com/locations/angamaly/itad-kochi/,gsc-url-protection-map,www.ewastekochi.com,location-service-matrix,angamaly,itad-kochi,0,1,redirect,redirect_301,(see vercel.json),classification_source=v2-redirect
/locations/angamaly/laptop-buyback-kochi/,https://www.ewastekochi.com/locations/angamaly/laptop-buyback-kochi/,gsc-indexed-url-upgrade-map;gsc-url-protection-map,www.ewastekochi.com,location-service-matrix,angamaly,laptop-buyback-kochi,0,0,indexed,leave_404,,classification_source=indexed-pages-crosscheck-2026-07-10
/locations/angamaly/mobile-recycling-kochi/,https://www.ewastekochi.com/locations/angamaly/mobile-recycling-kochi/,gsc-indexed-url-upgrade-map;gsc-url-protection-map,www.ewastekochi.com,location-service-matrix,angamaly,mobile-recycling-kochi,0,2,alt_canonical,leave_404,,classification_source=rule;confirmed_indexed_2026-07-10
/locations/angamaly/network-equipment-disposal-kochi/,https://www.ewastekochi.com/locations/angamaly/network-equipment-disposal-kochi/,gsc-url-protection-map,www.ewastekochi.com,location-service-matrix,angamaly,network-equipment-disposal-kochi,0,0,alt_canonical|crawled_not_indexed,leave_404,,classification_source=rule
/locations/angamaly/printer-recycling-kochi/,https://www.ewastekochi.com/locations/angamaly/printer-recycling-kochi/,gsc-url-protection-map,www.ewastekochi.com,location-service-matrix,angamaly,printer-recycling-kochi,0,3,redirect,leave_404,,classification_source=rule
/locations/angamaly/server-recycling-kochi/,https://www.ewastekochi.com/locations/angamaly/server-recycling-kochi/,gsc-url-protection-map,www.ewastekochi.com,location-service-matrix,angamaly,server-recycling-kochi,0,1,redirect,redirect_301,(see vercel.json),classification_source=v2-redirect
/locations/angamaly/tv-monitor-recycling-kochi/,https://www.ewastekochi.com/locations/angamaly/tv-monitor-recycling-kochi/,gsc-indexed-url-upgrade-map;gsc-url-protection-map,www.ewastekochi.com,location-service-matrix,angamaly,tv-monitor-recycling-kochi,0,0,indexed,leave_404,,classification_source=indexed-pages-crosscheck-2026-07-10
/locations/angamaly/ups-inverter-recycling-kochi/,https://www.ewastekochi.com/locations/angamaly/ups-inverter-recycling-kochi/,gsc-url-protection-map,www.ewastekochi.com,location-service-matrix,angamaly,ups-inverter-recycling-kochi,0,5,redirect,redirect_301,(see vercel.json),classification_source=v2-redirect
/locations/edappally/,https://www.ewastekochi.com/locations/edappally/,gsc-indexed-url-upgrade-map;gsc-url-protection-map,www.ewastekochi.com,location-page,edappally,edappally,4,244,redirect,keep_200,https://www.ewastekochi.com/locations/edappally/,classification_source=v2-live;confirmed_indexed_2026-07-10
/locations/edappally/air-conditioner-recycling-kochi/,https://www.ewastekochi.com/locations/edappally/air-conditioner-recycling-kochi/,gsc-indexed-url-upgrade-map;gsc-url-protection-map,www.ewastekochi.com,location-service-matrix,edappally,air-conditioner-recycling-kochi,0,0,indexed,leave_404,,classification_source=indexed-pages-crosscheck-2026-07-10
/locations/edappally/battery-recycling-kochi/,https://www.ewastekochi.com/locations/edappally/battery-recycling-kochi/,gsc-url-protection-map,www.ewastekochi.com,location-service-matrix,edappally,battery-recycling-kochi,0,2,indexed-with-traffic,redirect_301,(see vercel.json),classification_source=v2-redirect
/locations/edappally/certificate-of-destruction-kochi/,https://www.ewastekochi.com/locations/edappally/certificate-of-destruction-kochi/,gsc-indexed-url-upgrade-map;gsc-url-protection-map;gsc-indexed-redirect-map,www.ewastekochi.com,location-service-matrix,edappally,certificate-of-destruction-kochi,0,1,404|alt_canonical,redirect_configured,https://www.ewastekochi.com/data-destruction-certificate-sample/,Indexed legacy URL has a relevant one-hop 301 target in vercel.json; do not rebuild as a thin page.
/locations/edappally/corporate-ewaste-kochi/,https://www.ewastekochi.com/locations/edappally/corporate-ewaste-kochi/,gsc-url-protection-map,www.ewastekochi.com,location-service-matrix,edappally,corporate-ewaste-kochi,0,8,redirect,leave_404,,classification_source=rule
/locations/edappally/data-destruction-kochi/,https://www.ewastekochi.com/locations/edappally/data-destruction-kochi/,gsc-url-protection-map,www.ewastekochi.com,location-service-matrix,edappally,data-destruction-kochi,0,0,redirect,leave_404,,classification_source=rule
/locations/edappally/dpdp-act-compliance-kochi/,https://www.ewastekochi.com/locations/edappally/dpdp-act-compliance-kochi/,gsc-url-protection-map,www.ewastekochi.com,location-service-matrix,edappally,dpdp-act-compliance-kochi,0,1,redirect,leave_404,,classification_source=rule
/locations/edappally/e-waste-recycling-kochi/,https://www.ewastekochi.com/locations/edappally/e-waste-recycling-kochi/,gsc-url-protection-map,www.ewastekochi.com,location-service-matrix,edappally,e-waste-recycling-kochi,1,18,redirect,redirect_301,(see vercel.json),classification_source=v2-redirect
/locations/edappally/free-ewaste-pickup-kochi/,https://www.ewastekochi.com/locations/edappally/free-ewaste-pickup-kochi/,gsc-url-protection-map,www.ewastekochi.com,location-service-matrix,edappally,free-ewaste-pickup-kochi,0,2,redirect,redirect_301,(see vercel.json),classification_source=v2-redirect
/locations/edappally/hard-drive-shredding-kochi/,https://www.ewastekochi.com/locations/edappally/hard-drive-shredding-kochi/,gsc-indexed-url-upgrade-map;gsc-url-protection-map,www.ewastekochi.com,location-service-matrix,edappally,hard-drive-shredding-kochi,0,0,alt_canonical,leave_404,,classification_source=rule;confirmed_indexed_2026-07-10
/locations/edappally/it-asset-inventory-audit/,https://www.ewastekochi.com/locations/edappally/it-asset-inventory-audit/,gsc-url-protection-map,www.ewastekochi.com,location-service-matrix,edappally,it-asset-inventory-audit,0,0,redirect,leave_404,,classification_source=rule
/locations/edappally/itad-kochi/,https://www.ewastekochi.com/locations/edappally/itad-kochi/,gsc-indexed-url-upgrade-map;gsc-url-protection-map;gsc-indexed-redirect-map,www.ewastekochi.com,location-service-matrix,edappally,itad-kochi,0,1,indexed-with-traffic,redirect_configured,https://www.ewastekochi.com/itad/,Indexed legacy URL has a relevant one-hop 301 target in vercel.json; do not rebuild as a thin page.
